,proverb,meaning,example
626,خسته,. [ خ  ت  یا ت  ] ( ا ) استخوان خرماو شفتالو و زردالو و امثال ان. ( برهان قاطع ). هسته . ( از ناظم الاطباء ). عجم. تکس. تکسک. تخم. حب. نواة. ( یادداشت بخط مؤلف ). خذف ؛ سنگریزه و  خرما و مانند ان انداختن به انگشتان یا به چوبی. فرصد؛  مویز. خضعه ؛ خرمابن رسته از . جرام ؛  خرما. فصیص ؛  خرما صاف و پاکیزه گویی روغن مالی. هبر؛  انگور. ( منتهی الارب ). || ( ص ) زمینی که ان را شیار کرده باشند. ( برهان قاطع ) ( از ناظم الاطباء ). زمینی که انرا شیار کرده باشند یا مردم و حیوانات بر زبر ان امدو شد نموده و خاک ان در زیر پای ادم و اسب و دیگر حیوانات نرم شده باشد. ( فرهنگ جهانگیری ) : نی از غبار  بیرون شدی بزورنی از زمین  برانگیختی غبار.انوری ( از فرهنگ جهانگیری ).قدمگاهش زمین را  داردشتابش چرخ را اهسته دارد.نظامی. || ( ن مف ) ازرده. متألم. رنجیده. دلتنگ. دل ازرده. پردرد. ( یادداشت بخط مؤلف ) : سپهبد چو گفتار ایشان شنیددل لشکر از تاجور  دید.فردوسی.چو رستم دل گیو را  دید.فردوسی.وزان روی پیران پر از درد و خشم دل از درد  پر از اب چشم.فردوسی.از دل  و روان نژندخویشتن در نگارخانه فکند.عنصری. دنیا و شکسته جهان جز که بطاعت نپذیرد لحام.ناصرخسرو ( دیوان چ تقوی ص 307 ). ام نیک از بد ایام خویش طیره ام بر طالع پدرام خویش.خاقانی ( دیوان چ عبدالرسولی ص 797 ).گفتی اگر  ای غم مخور این سخن سزدخودبدلم گذر کند غم به بقای چون تویی.خاقانی.چنان کاین  را دلشاد کردی امیدم هست کز خود شاد گردی.نظامی.بحال دل  خستگان درنگرکه روزی تو دل باشی مگر.سعدی ( بوستان ).این جا تن ضعیف و دل  می خرند.-  جگر ؛ دردمند. دلتنگ. دل سوخته. سوخته جگر : نهانی ز سودابه چاره گرهمی بود پیچان و  جگر.فردوسی.جگر ام زین سخن پر ز دردنشسته بیکسوی بیخواب و خورد.فردوسی.چو امد بدان شارسان پدربیشتر بخوانید ...,
627,دست از پا درازتر,ناموفق؛ دست خالی؛ حالت کسی که به هدف خود نرسیده است,به خودش وعده داده بود که در امارات کار می کند و با جیب پرپول و گردن افراشته نزد خانواده اش برمی گردد، اما بعد از یک سال با جیب خالی و دست از پا درازتر برگشت.
628,گردنم از مو باریک تر,در مقابل حرف حق و سخن به جا تسلیم هستم و ان را می پذیرم.,
629,جون به عزرائیل نمی ده,سخت گیر، خسیس.,
630,دختر ترشیده,کی مند؛ در دالو,
631,چراغ پای خودش را روشن نمی کند,همانند کوزه گر از کوزه شکسته اب می خورد.,
632,روت نمی شه غربیل بگیر جلوت,به مسخره به کسی می گویند که از انجام کاری یا رفتن به جایی و یا در بیان مطلبی بی مورد و بی دلیل خجالت بکشد.,
633,گیوه را ور کشیدن,اماده شدن و راه افتادن برای اقدام و دست زدن به کاری.,
634,سکوت علامت رضاست,سکوت در برابر نظرخواهی یا در قبال انجام کار و یا معامله، به منزله پذیرفتن و رضایت به انجام ان کار می باشد.,
635,قاطی مرغ ها شدن,جوانی که داماد شده یا مجردی که متأهل شده باشد.,
636,زنگوله ی پای تابوت,کودک یا کودکانی را می گویند که در زمان پیری والدین متولد شده باشند.,
637,خوشی زیر دلش زده,اشاره به کسی که هیچ گونه غم وناراحتی و مشکلی در زندگی نداشته اما گله و ناشکری کند و یا بی جهت خود را دچار دردسر و گرفتاری می سازد.,
638,هپلی,کثیف، الوده، کسی که بهداشت را رعایت نمی کند. ( برگرفته از نمایشی در برنامه کودک در دهه ی ۶۰ به نام “محله ی برو بیا” که در ان  نماد میکروب بود.,هپلی برو دستاتو بشور !
639,بل گرفتن,. [ ب  گ  ر ت  ] ( مص مرکب ) دولک یا توپ بازی چلتوپ را از هوا گرفتن. ( از فرهنگ لغات عامیانه ). دولک را از هوا گرفتن. از هوا گرفتن دولک در بازی الک دولک که سبب بردن بازی است. از هوا گرفتن چیزی پرتاب کرده. ( یادداشت مرحوم دهخدا ). رجوع به بل شود. || چیز مفت بچنگ اوردن. ( فرهنگ لغات عامیانه ). بدون تحمل رنج به مال یا منصبی رسیدن. ( فرهنگ فارسی معین ). استفاده غیرمنتظر بی تهیه عوامل و مقدمات. ( یادداشت مرحوم دهخدا ). || از موقع مناسب استفاده کردن. ( فرهنگ لغات عامیانه ). استفاده کردن از موضوعی. ( فرهنگ فارسی معین ). فایده غیرمترقبه و غیرمنتظره را از پیش امدی بردن. فایدتی مالی از امری غیرمنتظر بردن. نفع بردن غیرمنتظر با زیرکی. ( یادداشت مرحوم دهخدا ).- از هوا  ؛ از فرصتی انی و ناگهانی منتهای استفاده را کردن و چیزی غیرمنتظره بدست اوردن. ( فرهنگ عوام ).,
640,به زانو دراوردن کسی,کسی را شکست دادن,ان قدر به تحریم ها ادامه دادند تا ان کشور را به زانو دراوردند. توضیح: ← توضیح اصط. «به زانو درامدن»
641,لقمه را دور سر چرخاندن,( از پشت سر در دهان گذاشتن )پیچاندن و سخت کردن کار و ان را از مسیر درست و کوتاه انجام ندادن.,
642,مخ زدن,مخ خوردن، جلب کردن,
643,گوش شیطان کر چشم شیطان کور,هنگامی که بخواهند از روبراه شدن وضعیتی خبر بدهند می گویند.,
644,میان زمین و اسمان ماندن,سرگردان کار خود بودن، سرگشته و حیران ماندن,
645,ترس کسی را برداشتن,ترسیدن,یک باره ترس برش داشت و فکر کرد نکند کسی او را در موقع خروج از ان خانه دیده باشد.
646,گاو کسی زاییدن,دردسری یا مشکلی برای کسی پیدا شدن؛ بد اوردن,گاومون زایید، خرج زندگی کم بود که حالا باید جریمه هم بدیم.
647,به گردن گرفتن,مسؤولیت امری را متقبل شدن.,
648,کارها نیکو شود اما به صبر,با صبر و تحمل و بردباری و به مرور زمان انشالله تمام مشکلات حل شده و کارها سر و سامان خواهد گرفت.,
649,کسی را به خاک سیاه نشاندن,کسی را بدبخت یا ورشکسته کردن,رواج این سوپرمارکت ها و فروشگاه های بزرگ خرده فروشان را به خاک سیاه نشاند.
650,استخوان لای زخم,مشکلی که به طور کامل حل نشده و زمانی دوباره سر برخواهد اورد,مسئله ی ملیت ها در ایران استخوان لای زخم است.
651,شتره شلخته,ادم نامنظم، کسی که در انجام کارها یا از لحاظ سر و وضع یا خانه و زندگی، به هم ریخته و شوریده باشد.,
652,کرم از درخت است,اشکال و ایراد از خود شخص است که باعث به وجود امدن مشکل یا ازار و مزاحمت می شود.,
653,ماهی شو برو,!حرف زیادی نزن، ساکت باش !,
654,کره,. [ ک  ره  ] ( ع ا ) چیز ناپسندیده و ناخوش و ناخواست. ( منتهی الارب ). چیزی که دیگران ان را نپسندند و مکروه دارند. ( ناظم الاطباء ) ( منتهی الارب ).- طوعا او ا ؛ از روی میل و رغبت یا از روی کراهت. ( ناظم الاطباء ).|| ( ص ) شتر سخت سر. ( منتهی الارب ) ( ناظم الاطباء ). شتر سخت. ( از اقرب الموارد ) ( انندراج ).. [ ک  یا ک  ] ( ع امص )سختی و مشقت. یقال : قمت علی  ؛ ای مشقت ( منتهی الارب )؛ به زحمت و مشقت برخاستم. ( ناظم الاطباء ). مشقت و گفته اند کلمه بفتح اول به معنی اکراه است و به ضم به معنی مشقت. ( از اقرب الموارد ). || فعلته ا؛ یعنی اکراها. زجاج گوید: هرچه را در قران  توان خواند فتح ان هم جایز است مگر قول خدای تعالی در سوره بقره : کتب علیکم القتال و هو  لکم. ( قران 216یا2 ) ( از اقرب الموارد ). || اباء. ( ناظم الاطباء ) ( از اقرب الموارد ). امتناع. ( ناظم الاطباء ). || امتناع من حیث العقل و من حیث الطبع و من حیث الشرع. ( ناظم الاطباء ).. [ ک ره  یا ک  ره  ] ( ع ص ) ناپسند و ناخوش و ناخواست. ( منتهی الارب ) ( ناظم الاطباء ). مکروه. ( اقرب الموارد ). رجوع به مکروه شود. ناخوشایند.  ؛ به معنی کریه است. ( از اقرب الموارد ). کریه و نامرغوب. ( غیاث اللغات ). رجوع به کریه شود.. [ ک ره ] ( ع ص ) دشوار. ( از ناظم الاطباء ). || چیزی که خود شخص ان را ناپسند دارد. || ( امص ) زبردستی. ( یادداشت مؤلف ). || زور. ( یادداشت مؤلف ). قهر و جبر. ( ناظم الاطباء ) : مال خدایگان بستاند به عنف و  از دست منکرانی چون منکر و نکیر.فرخی.چو مردم بخرد ابروی را همه سال به  بنده اینیم و چاکر انیم.مسعودسعد.. [ ک  یا ک ره  ] ( ع مص ) کراهة. کراهیة. ( از اقرب الموارد ) ( ناظم الاطباء ). مة. ناپسند داشتن چیزی را. ( منتهی الارب ). مقابل دوست داشتن. ( از اقرب الموارد ). دشخوار داشتن. ( تاج المصادر ). || دشوار شدن. ( ترجمان علامه جرجانی ص 81 ). رجوع به کراهة شود.. [ ک  ] ( ا ) اسم گیاه اشق است. ( فهرست مخزن الادویه ). رجوع به اشق شود.. [ ک  ر یا ر ] ( ا ) مسکه را نیز گویند و ان روغنی باشد که از دوغ گیرند. ( برهان ). چربی که از شیر یا دوغ به دست کنند. روغن ناگداخته. زبد. ( یادداشت مؤلف ). چربی که از چرخ کردن شیر در چرخهای  گیری حاصل شود ویا پس از تلم زدن دوغ ، ان را جمع کنند و به مصرف رسانند. گاهی نیز  را از خامه تهیه کنند بدین طریق که ابتدا خامه شیر را گیرند و پس از ان خامه ها راتحت فشار قرار دهند تا شیر و مایعات ان خارج شود و تبدیل به  گردد. ( فرهنگ فارسی معین ) : بیشتر بخوانید ...,
